Year,Constructor Champions,Drivers Champion
2014,Mercedes-AMG Petronas F1 Team,Lewis Hamilton
2015,Mercedes-AMG Petronas F1 Team,Lewis Hamilton
2016,Mercedes-AMG Petronas F1 Team,Nico Rosberg
2017,Mercedes-AMG Petronas F1 Team,Lewis Hamilton
2018,Mercedes-AMG Petronas F1 Team,Lewis Hamilton
2019,Mercedes-AMG Petronas F1 Team,Lewis Hamilton
2020,Mercedes-AMG Petronas F1 Team,Lewis Hamilton
2021,Oracle Red Bull Racing,Max Verstappen
2022,Oracle Red Bull Racing,Max Verstappen
2023,Oracle Red Bull Racing,Max Verstappen
2024,Oracle Red Bull Racing,Max Verstappen
2025,ongoing,ongoing
