Circuit_ID,Driver_ID,Team_ID,Position,Starting Grid,Laps,Time/Retired,Points,Fastest Lap,Year,Total Time/Gap/Retirement,+1 Pt,Set Fastest Lap,Fastest Lap Time
1,1,1,1,3.0,57,1:32:58.710,25,1:32.478,2014,,,,
1,2,2,EX,2.0,57,+24.525,0,1:33.066,2014,,,,
1,3,3,2,4.0,57,+26.777,18,1:32.917,2014,,,,
1,4,3,3,10.0,57,+30.027,15,1:33.186,2014,,,,
1,5,4,4,5.0,57,+35.284,12,1:32.616,2014,,,,
1,6,5,5,15.0,57,+7.639,10,1:32.568,2014,,,,
1,7,6,6,7.0,57,+50.718,8,1:33.210,2014,,,,
1,8,4,7,11.0,57,+57.675,6,1:33.691,2014,,,,
1,9,7,8,6.0,57,+60.441,4,1:33.864,2014,,,,
1,10,7,9,8.0,57,+63.585,2,1:32.634,2014,,,,
1,11,6,10,16.0,57,+85.916,1,1:33.366,2014,,,,
1,12,8,11,13.0,56,+1 lap,0,1:34.564,2014,,,,
1,13,8,12,20.0,56,+1 lap,0,1:34.202,2014,,,,
1,14,9,13,17.0,55,+2 laps,0,1:35.635,2014,,,,
1,15,9,NC,18.0,49,+8 laps,0,1:35.281,2014,,,,
1,16,10,NC,22.0,43,DNF,0,1:34.766,2014,,,,
1,17,10,NC,21.0,29,DNF,0,1:37.332,2014,,,,
1,18,11,NC,19.0,27,DNF,0,1:37.064,2014,,,,
1,19,2,NC,12.0,3,DNF,0,1:49.947,2014,,,,
1,20,1,NC,1.0,2,DNF,0,1:40.287,2014,,,,
1,21,5,NC,9.0,0,DNF,0,,2014,,,,
1,22,11,NC,14.0,0,DNF,0,,2014,,,,
2,20,1,1,1.0,56,1:40:25.974,25,1:43.066,2014,,,,
2,1,1,2,3.0,56,+17.313,18,1:43.960,2014,,,,
2,19,2,3,2.0,56,+24.534,15,1:44.289,2014,,,,
2,5,4,4,4.0,56,+35.992,12,1:44.165,2014,,,,
2,7,6,5,7.0,56,+47.199,10,1:45.982,2014,,,,
2,4,3,6,10.0,56,+83.691,8,1:46.039,2014,,,,
2,21,5,7,13.0,56,+85.076,6,1:44.897,2014,,,,
2,6,5,8,18.0,56,+85.537,4,1:45.475,2014,,,,
2,3,3,9,8.0,55,+1 lap,2,1:45.373,2014,,,,
2,10,7,10,11.0,55,+1 lap,1,1:46.695,2014,,,,
2,16,10,11,15.0,55,+1 lap,0,1:46.224,2014,,,,
2,8,4,12,6.0,55,+1 lap,0,1:45.129,2014,,,,
2,22,11,13,20.0,55,+1 lap,0,1:47.753,2014,,,,
2,18,11,14,22.0,54,+2 laps,0,1:47.500,2014,,,,
2,14,9,15,21.0,54,+2 laps,0,1:48.249,2014,,,,
2,2,2,NC,5.0,49,DNF,0,1:44.675,2014,,,,
2,13,8,NC,12.0,35,DNF,0,1:47.782,2014,,,,
2,12,8,NC,17.0,32,DNF,0,1:48.040,2014,,,,
2,9,7,NC,9.0,18,DNF,0,1:48.527,2014,,,,
2,15,9,NC,19.0,8,DNF,0,1:51.473,2014,,,,
2,17,10,NC,16.0,7,DNF,0,1:50.929,2014,,,,
2,11,6,NC,14.0,0,DNF,0,,2014,,,,
3,20,1,1,2.0,57,1:39:42.743,25,1:37.108,2014,,,,
3,1,1,2,1.0,57,+1.085,18,1:37.020,2014,,,,
3,11,6,3,4.0,57,+24.067,15,1:39.320,2014,,,,
3,2,2,4,13.0,57,+24.489,12,1:39.269,2014,,,,
3,7,6,5,11.0,57,+28.654,10,1:38.785,2014,,,,
3,19,2,6,10.0,57,+29.879,8,1:39.312,2014,,,,
3,21,5,7,7.0,57,+31.265,6,1:39.272,2014,,,,
3,6,5,8,3.0,57,+31.876,4,1:39.762,2014,,,,
3,5,4,9,9.0,57,+32.595,2,1:39.732,2014,,,,
3,8,4,10,5.0,57,+33.462,1,1:39.438,2014,,,,
3,10,7,11,12.0,57,+41.342,0,1:40.160,2014,,,,
3,16,10,12,16.0,57,+43.143,0,1:39.443,2014,,,,
3,14,9,13,21.0,57,+59.909,0,1:41.825,2014,,,,
3,17,10,14,17.0,57,+62.803,0,1:39.666,2014,,,,
3,22,11,15,18.0,57,+87.900,0,1:41.246,2014,,,,
3,15,9,16,19.0,56,+1 lap,0,1:42.775,2014,,,,
3,4,3,17,6.0,55,DNF,0,1:39.565,2014,,,,
3,3,3,NC,8.0,40,DNF,0,1:40.108,2014,,,,
3,13,8,NC,15.0,39,DNF,0,1:40.698,2014,,,,
3,18,11,NC,20.0,33,DNF,0,1:41.134,2014,,,,
3,9,7,NC,14.0,18,DNF,0,1:41.650,2014,,,,
3,12,8,NC,22.0,17,DNF,0,1:41.791,2014,,,,
4,20,1,1,1.0,54,1:33:28.338,25,1:41.196,2014,,,,
4,1,1,2,4.0,54,+18.062,18,1:40.402,2014,,,,
4,5,4,3,5.0,54,+23.604,15,1:42.081,2014,,,,
4,2,2,4,2.0,54,+27.136,12,1:41.473,2014,,,,
4,19,2,5,3.0,54,+47.778,10,1:42.169,2014,,,,
4,7,6,6,8.0,54,+54.295,8,1:42.624,2014,,,,
4,6,5,7,7.0,54,+55.697,6,1:42.660,2014,,,,
4,8,4,8,11.0,54,+76.335,4,1:42.300,2014,,,,
4,11,6,9,16.0,54,+82.647,2,1:42.228,2014,,,,
4,10,7,10,13.0,53,+1 lap,1,1:43.337,2014,,,,
4,4,3,11,12.0,53,+1 lap,0,1:43.375,2014,,,,
4,9,7,12,9.0,53,+1 lap,0,1:42.896,2014,,,,
4,3,3,13,15.0,53,+1 lap,0,1:42.701,2014,,,,
4,17,10,14,22.0,53,+1 lap,0,1:43.067,2014,,,,
4,21,5,15,6.0,53,+1 lap,0,1:42.379,2014,,,,
4,13,8,16,17.0,53,+1 lap,0,1:42.257,2014,,,,
4,15,9,17,19.0,53,+1 lap,0,1:44.825,2014,,,,
4,22,11,18,18.0,53,+1 lap,0,1:43.323,2014,,,,
4,14,9,19,21.0,52,+2 laps,0,1:42.875,2014,,,,
4,18,11,20,20.0,52,+2 laps,0,1:43.620,2014,,,,
